tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
8570	<s>First of all, I think it is well to put in perspective where we really do stand with regard to the Soviet Union in this whole matter of growth.</s>	No	145			100+	0	0	0.0	0
1934	<s>Well, mathematically, there are three ways that you can cut a deficit.</s>	No	72			71-80	0	0	0.0	0
24930	<s>We have a gentleman down in Nicaragua who is on contract to the CIA, advising -- supposedly on military tactics -- the contras.</s>	Yes	129			100+	1	0	0.0	0
25531	<s>But this administration time and time again has lost its way in this field.</s>	No	75			71-80	0	0	0.0	0
20146	<s>And I'm glad we're going in the right direction.</s>	No	48			41-50	0	0	0.0	0
24345	<s>And we are helping democracy, Ross.</s>	No	37			31-40	0	0	0.0	0
6370	<s>And it's great to be with you again.</s>	No	36			31-40	0	0	0.0	0
3235	<s>That's one of the problems with this administration's so-called shuttle diplomacy.</s>	No	82			81-90	0	0	0.0	0
3143	<s>I think good will on both parts, hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties.</s>	No	140			100+	0	0	0.0	0
28827	<s>And incidentally, an excellent -- I mean, I think our success over the last eight years has not been in spite of diversity but because of it.</s>	No	143			100+	0	0	0.0	0
5835	<s>Whenever you get a large rally of 10,000, 15,000, 20,000 people, you're going to have some fringe peoples.</s>	No	108			100+	0	0	0.0	0
16894	<s>There's some question about their morality.</s>	No	43			41-50	0	0	0.0	0
6632	<s>Let me come back in one moment to that, but I want to speak for a second, if I can, to what the president said about fiscal responsibility.</s>	No	141			100+	0	0	0.0	0
13920	<s>Everybody says it'll create jobs.</s>	No	33			31-40	0	0	0.0	0
19909	<s>It's not being taken away from anybody else, except we'll downsize the Department of Education.</s>	No	97			91-100	0	0	0.0	0
2794	<s>In every one of these instances, the Ford administration has failed, and I hope tonight that I and Mr. Ford will have a chance to discuss the reasons for those failures.</s>	No	171			100+	0	0	0.0	0
6968	<s>And recognizing that, I called together a group of our fellow citizens to study the issue.</s>	Yes	92			91-100	1	0	0.0	0
4229	<s>They were just waiting to seize the opportunity.</s>	No	48			41-50	0	0	0.0	0
14746	<s>Now, the question is, can we win?</s>	No	35			31-40	0	0	0.0	0
24527	<s>Like Mr. Perot, I have held crack babies in my arms.</s>	No	54			51-60	0	0	0.0	0
6023	<s>The same country that's helping us try to stop the flow of drugs into our country that's killing young Americans.</s>	Yes	113			100+	1	0	0.0	0
660	<s>I'm not going to do that, because I think the jury is still out on the Soviet experiment.</s>	No	91			91-100	0	0	0.0	0
11005	<s>What we're going to give you is a 50 percent tax credit to help provide health care for those that you need.</s>	No	108			100+	0	0	0.0	0
16785	<s>Now Governor Carter complains about the deficits that - - this administration has had.</s>	No	86			81-90	0	0	0.0	0
1828	<s>I want to bring the rates down, at the same time lower deductions and exemptions and credits and so forth, so we keep getting the revenue we need.</s>	No	148			100+	0	0	0.0	0
17125	<s>Virtually every economic analysis that I've heard of, including the distinguished Congressional Budget Office, which is respected by, I think, almost everyone, says that even with historically high levels of economic growth, we will suffer a $263 billion deficit.</s>	Yes	265			100+	1	0	0.0	0
29989	<s>And one of the things he's done is to let loose cyber attackers to hack into government files, to hack into personal files, hack into the Democratic National Committee.</s>	Yes	170			100+	1	0	0.0	0
21091	<s>It's a part of the Social Security system.</s>	Yes	42			41-50	1	0	0.0	0
2493	<s>What your plan does is to duplicate what's already the law, which says if you are out of health insurance for three months, then you can end up getting continuous coverage and an insurance company can't deny you if you've -- if it's been under 90 days.</s>	Yes	254			100+	1	0	0.0	0
11268	<s>But the Russians, I think we can deal with them but they've got to understand that they're facing a very firm and determined United States of America that will defend our interests and that of other countries in the world.</s>	No	224			100+	0	0	0.0	0
7500	<s>I believe I offer tested, strong leadership that can calm the waters of the troubled world.</s>	No	93			91-100	0	0	0.0	0
1666	<s>But we all know that we've still got a lot of work to do.</s>	No	57			51-60	0	0	0.0	0
3683	<s>But there's no doubt that we're not going to be able to do everything that I think needs to be done.</s>	No	100			91-100	0	0	0.0	0
32972	<s>I want a Supreme Court that doesn't always side with corporate interests.</s>	No	73			71-80	0	0	0.0	0
6525	<s>One of the reasons I'm such a strong believer in legal reform is so that people aren't afraid of producing a product that is necessary for the health of our citizens and then end up getting sued in a court of law.</s>	No	213			100+	0	0	0.0	0
6221	"<s>I don't know how you vote present""on some of that.</s><s>""</s>"	No	53			51-60	0	0	0.0	0
7528	<s>And yet, because of the hard work of the American people and good policies, this economy is growing.</s>	Yes	102			100+	1	0	0.0	0
907	<s>Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future.</s>	No	388			100+	0	0	0.0	0
7075	<s>That has the benefit of making sure our employers aren't breaking the law as they try to fill their workforce needs.</s>	No	116			100+	0	0	0.0	0
671	<s>The Reagan-Bush administration was right.</s>	No	41			41-50	0	0	0.0	0
26690	<s>So we have -- as we said, if you want to keep doing business and selling your products over here, you're going to have to quit pirating our CDs, and they agreed to do things and verify that they had done it, which will make the problem much better.</s>	Yes	250			100+	1	0	0.0	0
33536	<s>She has been outsmarted and outplayed worse than anybody I've ever seen in any government whatsoever.</s>	No	101			100+	0	0	0.0	0
33044	<s>You take a look at what's happening to steel and the cost of steel and China dumping vast amounts of steel all over the United States, which essentially is killing our steelworkers and our steel companies.</s>	Yes	207			100+	1	0	0.0	0
8832	<s>He's talking about that fantastic plan of the Administration to take thousands and thousands of square miles out in the Western states.</s>	No	135			100+	0	0	0.0	0
23904	<s>I was 19 or 20 flying off an aircraft carrier and that shaped me to be Commander-in-Chief of the armed forces.</s>	No	110			100+	0	0	0.0	0
13956	<s>I just have an honest philosophical difference.</s>	No	47			41-50	0	0	0.0	0
18430	<s>First of all, we all know that in his state of the union message, he told Congress about nuclear materials that didn't exist.</s>	Yes	127			100+	1	0	0.0	0
24321	<s>We're weak in the world.</s>	No	24			21-30	0	0	0.0	0
5813	<s>And I think Congressman Lewis' point was that we have to be careful about how we deal with our supporters.</s>	No	106			100+	0	0	0.0	0
7502	<s>We can lift our schools up.</s>	No	27			21-30	0	0	0.0	0
3044	<s>It doesn't - make a determination as to how - that relationship should be achieved in relationship to our current uhh - diplomatic recognition and obligations to the Taiwanese Government.</s>	No	187			100+	0	0	0.0	0
18777	<s>And finally, we were a party to the convention -- to working with Germany, France and Great Britain to send their foreign ministers into Iran.</s>	Yes	144			100+	1	0	0.0	0
6478	<s>Yes, we can be safe and secure, if we stay on the offense against the terrorists and if we spread freedom and liberty around the world.</s>	No	137			100+	0	0	0.0	0
27755	<s>They look at the fact that we owe 'em a trillion dollars and owe other people $16 trillion in total, including that.</s>	Yes	118			100+	1	0	0.0	0
17756	<s>Mr. Reagan, as you saw tonight -- President Reagan takes the position it will disappear by magic.</s>	No	99			91-100	0	0	0.0	0
23280	<s>I'm pledging I will not raise taxes; I'm giving a tax cut to the people earning less than $200,000 a year.</s>	No	108			100+	0	0	0.0	0
26775	<s>What we need is good, strong leadership going in the next century.</s>	No	68			61-70	0	0	0.0	0
12186	<s>And let me tell you exactly why I think that the choice he made to give a tax cut for the oil companies and others before addressing this -- I mean, if you were the governor of a state that was dead last in health care for families, and all of a sudden you found yourself with the biggest surplus your state had ever had in its history, wouldn't you want to maybe use some of it to climb from 50th to, say, 45 or 40 or something or maybe better?</s>	No	447			100+	0	0	0.0	0
5976	<s>We can store and reprocess spent nuclear fuel, Senator Obama, no problem.</s>	No	75			71-80	0	0	0.0	0
29606	<s>I could do that very quickly.</s>	No	29			21-30	0	0	0.0	0
33178	<s>It's all about the Constitution of -- of -- and so important, the Constitution the way it was meant to be.</s>	No	108			100+	0	0	0.0	0
28331	<s>So I'm going to ask the Congress to pass a teacher protection act.</s>	No	66			61-70	0	0	0.0	0
11198	<s>General Petraeus has just taken over a position of responsibility, where he has the command and will really set the tone for the strategy and tactics that are used.</s>	No	166			100+	0	0	0.0	0
25504	<s>And the promise of the revolution was democracy, human rights, free labor unions, free press.</s>	Yes	95			91-100	1	0	0.0	0
10341	<s>I'm a guy who wants to help with the experience I have, the American people.</s>	No	78			71-80	0	0	0.0	0
19979	<s>You've got one parent working for the government, the other parent working for the family.</s>	No	92			91-100	0	0	0.0	0
12599	<s>Do you know today that the Com- the Russians broadcast ten times as many programs in Spanish to Latin America as we do?</s>	Yes	119			100+	1	0	0.0	0
1404	<s>And - that would be another factor that I would follow.</s>	No	55			51-60	0	0	0.0	0
26612	<s>It will probably happen in the year 2012 or 2015.</s>	No	49			41-50	0	0	0.0	0
33174	<s>They are great scholars in all cases, and they're people of tremendous respect.</s>	No	81			81-90	0	0	0.0	0
8258	<s>I come out of the Democratic party, which in this century has produced Woodrow Wilson and Franklin Roosevelt and Harry Truman, and which supported and sustained these programs which I've discussed tonight.</s>	No	207			100+	0	0	0.0	0
14356	<s>I apologize for it but that one got right to the national honor and I'm sorry.</s>	No	78			71-80	0	0	0.0	0
25899	<s>It had 26 separate maps they had to sign, literally thousands of delineations of who would do what on the West Bank, and I believe if the parties will get together and in a good-faith manner make that agreement, that they'll be able to do it if we cannot impose a peace on the Middle East.</s>	No	291			100+	0	0	0.0	0
27398	<s>First of all, the sequester is not something that I've proposed.</s>	No	66			61-70	0	0	0.0	0
10148	<s>Wherever possible the -- the benefit of having two parents in the home, and that's not always possible.</s>	No	105			100+	0	0	0.0	0
29219	<s>How do you bring back -- specifically bring back jobs, American manufacturers?</s>	No	80			71-80	0	0	0.0	0
23612	<s>Religion has been a huge part of my life.</s>	No	41			41-50	0	0	0.0	0
19544	<s>Americans shouldn't have gone there in the first place, had we let them defend themselves, as they have a right to do under Article 57 of the United Nations charter.</s>	Yes	167			100+	1	0	0.0	0
350	<s>I'd say around 30 percent.</s>	No	26			21-30	0	0	0.0	0
34356	<s>We've got to get back to rebuilding the middle class, the families of America.</s>	No	80			71-80	0	0	0.0	0
7584	<s>He points to the fact that I visited Cuba while Mr. Batista was in power there.</s>	No	79			71-80	0	0	0.0	0
21150	"<s>I believe that -- I believe they've moved that sign, The buck stops here""from the Oval Office desk to ""The buck stops here""on the Lincoln bedroom.</s><s>""</s>"	No	149			100+	0	0	0.0	0
14308	<s>I think we're making progress here.</s>	No	35			31-40	0	0	0.0	0
1673	<s>Are we going to double on top-down economic policies that helped to get us into this mess or do we embrace a new economic patriotism that says America does best when the middle class does best?</s>	No	193			100+	0	0	0.0	0
2181	<s>It's called premium support, but it's understood to be a voucher program.</s>	No	75			71-80	0	0	0.0	0
9900	<s>And what I've also said is for young people who come here, brought here often times by their parents.</s>	No	103			100+	0	0	0.0	0
719	<s>Two questions: How do you deter nuclear attack without modernizing our nuclear forces when the Soviets are modernizing and how come you spend-willing to spend a dime on something that you consider a fantasy and a fraud.</s>	No	219			100+	0	0	0.0	0
1748	<s>And so the question is how to get them going again.</s>	No	51			51-60	0	0	0.0	0
21097	<s>I want to get a better rate of return for your own money than the paltry 2% that the current Social Security Trust gets today.</s>	No	126			100+	0	0	0.0	0
6110	<s>If you don't have health insurance or you want to buy into a group plan, you will be able to buy into the plan that I just described.</s>	No	135			100+	0	0	0.0	0
27257	<s>We're all focused on China.</s>	No	27			21-30	0	0	0.0	0
18732	<s>And I think this will work.</s>	No	27			21-30	0	0	0.0	0
5668	<s>That's not the way we cut -- we'll cut out all the pork.</s>	No	56			51-60	0	0	0.0	0
12077	<s>But I think that we -- I think we have to start with better parenting.</s>	No	70			61-70	0	0	0.0	0
30177	<s>But nobody called Sean Hannity.</s>	Yes	31			31-40	1	0	0.0	0
17532	<s>Net farm income is off 50 percent in the last 3 years, and every farmer knows it.</s>	Yes	83			81-90	1	0	0.0	0
18155	<s>What message does that send to our allies?</s>	No	42			41-50	0	0	0.0	0
8306	<s>Secondly, my objection to present farm policy is that there are no effective controls to bring supply and demand into better balance.</s>	No	135			100+	0	0	0.0	0
26693	<s>I'm proud that we're better off on that than we were four years ago.</s>	No	68			61-70	0	0	0.0	0
22158	<s>We may differ about what the elements of that are.</s>	No	50			41-50	0	0	0.0	0
12467	<s>I would like to unite this country to get an agenda done that will speak to the hopes and aspirations of the future.</s>	No	116			100+	0	0	0.0	0
26708	<s>And when it comes to public ethics, he has a responsibility.</s>	No	62			61-70	0	0	0.0	0
6082	<s>We -- we need to have -- we need to have employers reward employees who join health clubs and practice wellness and fitness.</s>	No	124			100+	0	0	0.0	0
10223	<s>A half a million manufacturing jobs have been lost in the last four years.</s>	Yes	74			71-80	1	0	0.0	0
17904	<s>When we terminated 400,000 desperate, hopeless, defenseless Americans who were on disability -- confused and unable to defend themselves, and just laid them out on the street, as we did for 4 years, I don't think that's what America is all about.</s>	Yes	248			100+	1	0	0.0	0
11287	<s>If Iran acquires nuclear weapons, all the other countries will acquire them, too.</s>	No	83			81-90	0	0	0.0	0
10119	<s>Most recently out in Aurora.</s>	No	28			21-30	0	0	0.0	0
16188	<s>Can you add five seconds, Bernie, out of fairness?</s>	No	52			51-60	0	0	0.0	0
26848	<s>Because you're going to decide whether we're going to balance the budget now, but protect Medicare, Medicaid, education and the environment.</s>	No	142			100+	0	0	0.0	0
8383	<s>#NAME?</s>	No	6	NAME		0-10	0	1	0.0	0
12271	<s>But it starts with working in a collaborative effort with states and local folks.</s>	Yes	81			81-90	1	0	0.0	0
16855	<s>It's to make sure that everybody pays taxes on the income that they earn and make sure that you take whatever savings there is from the higher income levels and give it to the lower- and middle-income families.</s>	No	210			100+	0	0	0.0	0
744	<s>And, yet, after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the Ayatollah in exchange for hostages, one of the most tragic, one of the most mistaken foreign policy decisions we've ever made in this country and I dare say encouraged others to take hostages as we now know.</s>	Yes	324			100+	1	0	0.0	0
32808	<s>But she's lied about a lot of things.</s>	Yes	37			31-40	1	0	0.0	0
21849	<s>So I want to keep the quality of health care.</s>	No	45			41-50	0	0	0.0	0
6851	<s>In the Senate we passed the right of Americans to import drugs from Canada.</s>	Yes	75			71-80	1	0	0.0	0
14819	<s>I'm a father of sons; I have a grandson.</s>	No	40			31-40	0	0	0.0	0
25117	<s>We were there for the better part of a year.</s>	No	44			41-50	0	0	0.0	0
22321	<s>It's as good as any private school in the country.</s>	No	50			41-50	0	0	0.0	0
21193	<s>But he wasn't in the Senate with Senator Feingold.</s>	Yes	50			41-50	1	0	0.0	0
11996	<s>I think -- in the last few years I think have been unfortunate.</s>	No	63			61-70	0	0	0.0	0
22668	<s>That's the kind of mindset that says sanctions were working.</s>	No	60			51-60	0	0	0.0	0
19396	<s>They know the Democratic party won't do it.</s>	No	43			41-50	0	0	0.0	0
1335	<s>And in those two cases, I would favor them.</s>	No	45			41-50	0	0	0.0	0
30175	<s>He said, you used to have fights with me, because Sean was in favor of the war.</s>	Yes	81			81-90	1	0	0.0	0
1739	<s>Middle- income Americans have seen their income come down by $4,300.</s>	Yes	70			61-70	1	0	0.0	0
28781	<s>What I cared about is could we work together.</s>	No	45			41-50	0	0	0.0	0
26026	<s>It will probably have to be done by a commission.</s>	No	49			41-50	0	0	0.0	0
32794	<s>And I'll be a president that will turn our inner cities around and will give strength to people and will give economics to people and will bring jobs back.</s>	No	155			100+	0	0	0.0	0
22957	<s>The when I can't tell you.</s>	No	26			21-30	0	0	0.0	0
18427	<s>And I try not to.</s>	No	17			11-20	0	0	0.0	0
12673	<s>And when we are strong and when we are first, then freedom gains; then the prospects for peace increase; then the prospects for our society gain.</s>	No	147			100+	0	0	0.0	0
23764	<s>And I ask you for the privilege of leading our nation to be stronger at home and respected again in the world.</s>	No	110			100+	0	0	0.0	0
1455	<s>With all due respect to President Ford, I think he ought to be ashamed of mentioning that statement, because we have the highest unemployment rate now than we had at any time between the Great Depression caused by Herbert Hoover and the time President Ford took office.</s>	Yes	271			100+	1	0	0.0	0
12683	<s>We have five treaties with Latin America, including the one setting up the Organization of American States in Bogota in 1948, in which we have agreed not to intervene in the internal affairs of any other American country - and they as well have agreed to do likewise.</s>	Yes	269			100+	1	0	0.0	0
5821	<s>I do think that he inappropriately drew a comparison between what was happening there and what had happened during the civil rights movement, and we immediately put out a statement saying that we don't think that comparison is appropriate.</s>	No	241			100+	0	0	0.0	0
21675	<s></s><s>And, very simply, in the inner city, they're starved -- you see, small business is the way to jump start the inner city, not --</s>	No	129			100+	0	0	0.0	0
29141	<s>You see that, their small car division leaving.</s>	Yes	49			41-50	1	0	0.0	0
14715	<s>That is my commitment to you.</s>	No	29			21-30	0	0	0.0	0
9861	<s>And let me step back and tell you what I would like to do with our immigration policy broadly and include an answer to your question.</s>	No	133			100+	0	0	0.0	0
7937	<s>We don't know what the future's going to bring.</s>	No	47			41-50	0	0	0.0	0
23854	<s>That's because we believe in investing in education and in jobs.</s>	No	64			61-70	0	0	0.0	0
27251	<s>Number two, we're going to increase our trade.</s>	No	48			41-50	0	0	0.0	0
28847	<s>Are you for it without quotas?</s>	No	30			21-30	0	0	0.0	0
13836	<s>If you have a heart problem, you don't wait till a heart attack to address it.</s>	No	80			71-80	0	0	0.0	0
